                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.55424,                    inf,                0.79468,                0.84646,                0.86891,                0.92591,                0.74945,                0.70238,                0.98161,                0.83583,               0.003268,               0.003268,               0.003268
                     70,                0.55646,                    inf,                0.79389,                0.66615,                0.75912,                0.80669,                 0.6906,                 0.6511,                 1.7606,                0.81088,               0.003169,               0.003169,               0.003169
                     71,                0.54399,                    inf,                 0.7892,                0.60609,                0.80978,                0.66486,                0.55081,                0.72509,                 1.6017,                0.83597,                0.00307,                0.00307,                0.00307
                     72,                0.55178,                0.27683,                0.79986,                0.68506,                0.87482,                0.83514,                0.68202,                0.75697,                 1.1871,                0.85272,               0.002971,               0.002971,               0.002971
                     73,                0.54996,                0.27893,                0.79705,                0.83641,                0.89674,                0.90436,                0.70926,                0.84803,                0.67257,                0.87992,               0.002872,               0.002872,               0.002872
                     74,                0.54432,                0.27888,                0.79969,                0.64114,                0.83152,                0.65117,                 0.5147,                0.82261,                 1.2514,                0.86395,               0.002773,               0.002773,               0.002773
                     75,                0.54025,                0.27138,                 0.7986,                0.67062,                0.75245,                0.71099,                 0.5657,                 0.8265,                 1.8913,                0.86768,               0.002674,               0.002674,               0.002674
                     76,                0.53942,                0.27072,                0.79683,                0.86789,                0.88043,                0.93545,                0.76386,                0.73595,                 1.1565,                0.84029,               0.002575,               0.002575,               0.002575
                     77,                0.54892,                0.27361,                0.79616,                0.55409,                0.89143,                0.59956,                0.50757,                0.68513,                 1.1991,                0.82817,               0.002476,               0.002476,               0.002476
                     78,                0.53808,                0.26048,                0.79309,                0.76985,                0.87263,                0.85528,                0.65558,                0.90161,                0.81682,                0.89355,               0.002377,               0.002377,               0.002377
                     79,                0.52693,                0.26375,                 0.7941,                0.71678,                0.90217,                0.81614,                0.66051,                 0.7645,                0.79603,                0.84897,               0.002278,               0.002278,               0.002278
                     80,                 0.5188,                0.25431,                0.79799,                0.73931,                0.93478,                0.82887,                0.70181,                0.64853,                0.93654,                0.82215,               0.002179,               0.002179,               0.002179
                     81,                0.52769,                0.25839,                 0.7977,                0.81009,                0.88094,                0.94191,                0.75827,                0.76792,                 0.8598,                0.85477,                0.00208,                0.00208,                0.00208
                     82,                0.51554,                0.25745,                0.79373,                0.77151,                0.99094,                0.91032,                0.73477,                0.75574,                0.60657,                0.84738,               0.001981,               0.001981,               0.001981
                     83,                0.51371,                0.25582,                0.79951,                0.76491,                0.97257,                0.89974,                0.72598,                0.72419,                0.76679,                0.83885,               0.001882,               0.001882,               0.001882
                     84,                0.50749,                0.25189,                0.79594,                0.74267,                0.87838,                0.83684,                0.66123,                0.85774,                 1.3004,                0.87887,               0.001783,               0.001783,               0.001783
                     85,                 0.5129,                    inf,                0.78599,                0.74227,                0.88587,                0.83802,                0.63867,                0.89203,                0.94211,                0.88811,               0.001684,               0.001684,               0.001684
                     86,                0.51618,                0.25426,                0.79715,                0.76386,                0.88587,                0.87148,                0.69489,                0.83301,                 0.9791,                0.86676,               0.001585,               0.001585,               0.001585
                     87,                 0.5093,                0.25156,                0.79294,                0.88587,                 0.7663,                0.91178,                0.73473,                0.80688,                 1.4113,                0.86057,               0.001486,               0.001486,               0.001486
                     88,                0.50471,                0.24487,                0.79517,                 0.8134,                0.85326,                0.84589,                0.65082,                0.95051,                 1.2432,                0.90505,               0.001387,               0.001387,               0.001387
                     89,                0.49815,                0.24596,                0.79217,                0.85913,                0.86178,                0.92794,                0.75257,                  0.796,                 1.3855,                0.85365,               0.001288,               0.001288,               0.001288
                     90,                 0.4862,                0.24235,                0.78941,                0.77629,                0.74457,                0.76968,                0.60479,                 0.7868,                 1.0867,                0.84947,               0.001189,               0.001189,               0.001189
                     91,                0.47939,                0.24005,                0.78623,                 0.7154,                 0.8913,                0.80359,                0.60448,                0.90548,                 0.9263,                0.88088,                0.00109,                0.00109,                0.00109
                     92,                0.47779,                0.23473,                0.79652,                0.87176,                0.84978,                0.91508,                0.72365,                 0.8779,                 1.1068,                0.89057,               0.000991,               0.000991,               0.000991
                     93,                0.46603,                0.23704,                 0.7863,                0.69761,                 0.8526,                0.74085,                0.57045,                0.87637,                 1.5445,                 0.8815,               0.000892,               0.000892,               0.000892
                     94,                0.47126,                0.23164,                0.78258,                0.67211,                0.86957,                0.73195,                0.57104,                0.84656,                 1.0258,                   0.87,               0.000793,               0.000793,               0.000793
                     95,                0.46327,                0.23403,                0.78462,                 0.7615,                0.76087,                0.79487,                0.64964,                0.73594,                 1.8127,                0.83888,               0.000694,               0.000694,               0.000694
                     96,                0.46883,                0.23319,                0.78623,                0.68694,                0.81092,                0.70434,                0.56805,                0.76275,                 1.5822,                0.84182,               0.000595,               0.000595,               0.000595
                     97,                0.46439,                0.22939,                0.78973,                0.66194,                0.80878,                0.65521,                 0.5236,                0.77791,                 1.6034,                0.85011,               0.000496,               0.000496,               0.000496
                     98,                0.45501,                0.22745,                0.78528,                0.68953,                0.78457,                0.69942,                0.54845,                0.84218,                  1.788,                0.86638,               0.000397,               0.000397,               0.000397
                     99,                0.45989,                0.22601,                0.78627,                0.69342,                 0.7867,                0.70533,                0.55396,                  0.845,                 1.9282,                0.87008,               0.000298,               0.000298,               0.000298
